2019-07-23 16:17:01 INFO  LoggerHelper:27 - test
2019-10-20 14:05:18 INFO  Retry:17 - RetryingtestTestwithstatus FAILUREfor the1times
2019-10-20 14:05:18 INFO  Retry:17 - RetryingtestTestwithstatus FAILUREfor the2times
2019-10-20 14:05:18 INFO  Retry:17 - RetryingtestTestwithstatus FAILUREfor the3times
2019-10-20 14:22:21 INFO  Retry:17 - RetryingtestTestwithstatus FAILUREfor the1times
2019-10-20 14:22:21 INFO  Retry:17 - RetryingtestTestwithstatus FAILUREfor the2times
2020-02-10 22:49:29 INFO  ExcelHelper:118 - result updated...
2020-02-10 22:50:10 INFO  ExcelHelper:118 - result updated...
2020-02-10 22:50:48 INFO  ExcelHelper:118 - result updated...
2020-02-11 19:50:24 INFO  ExcelHelper:118 - result updated...
2020-02-11 19:50:24 INFO  ExcelHelper:118 - result updated...
2020-02-11 19:50:24 INFO  ExcelHelper:118 - result updated...
